page_number,page_id,page_name,visual_id,visual_title,visual_type,dataset,fields,measures,purpose,interactions
1,executive_overview,Gujarat Executive Overview,p1_total_card,Total Registered Enterprises,card,district_fact,,Total Registered Enterprises,Display the Gujarat registration total.,
1,executive_overview,Gujarat Executive Overview,p1_micro_card,Micro Enterprises,card,district_fact,,Micro Registered Enterprises,Display total Micro registrations.,
1,executive_overview,Gujarat Executive Overview,p1_small_card,Small Enterprises,card,district_fact,,Small Registered Enterprises,Display total Small registrations.,
1,executive_overview,Gujarat Executive Overview,p1_medium_card,Medium Enterprises,card,district_fact,,Medium Registered Enterprises,Display total Medium registrations.,
1,executive_overview,Gujarat Executive Overview,p1_district_count,Districts Covered,card,district_fact,,District Count,Display the number of Gujarat districts.,
1,executive_overview,Gujarat Executive Overview,p1_top_district,Highest Registered District,card,district_fact,,Highest Registered District,Identify the highest-registration district.,
1,executive_overview,Gujarat Executive Overview,p1_top10_chart,Top 10 Gujarat Districts,clustered_bar_chart,district_fact,district_name | total | district_rank_total,,Compare the ten highest-registration districts.,Filtered where top_10_flag is true.
1,executive_overview,Gujarat Executive Overview,p1_category_share,Enterprise Category Share,donut_chart,district_fact,,Micro Registered Enterprises | Small Registered Enterprises | Medium Registered Enterprises,Show Gujarat registration composition.,
2,district_comparison,District Comparison,p2_district_slicer,Select District,slicer,district_fact,district_name,,Filter the page to selected districts.,
2,district_comparison,District Comparison,p2_rank_chart,District Registration Ranking,clustered_bar_chart,district_fact,district_name | total | district_rank_total,,Compare districts by total registrations.,
2,district_comparison,District Comparison,p2_contribution_chart,Contribution to Gujarat Total,bar_chart,district_fact,district_name | gujarat_total_share_pct,,Show each district's Gujarat contribution.,
2,district_comparison,District Comparison,p2_rank_table,District Ranking Table,table,district_fact,district_name | lg_dt_code | micro | small | medium | total | district_rank_total | gujarat_total_share_pct,,Provide sortable district-level detail.,
2,district_comparison,District Comparison,p2_average_card,Average Registrations per District,card,district_fact,,Average Registrations per District,Display the Gujarat district average.,
2,district_comparison,District Comparison,p2_selected_share,Selected District Contribution,card,district_fact,,Selected District Contribution %,Display selected district contribution.,
3,category_analysis,Enterprise Category Analysis,p3_category_cards,Category Totals,multi_row_card,district_fact,,Micro Registered Enterprises | Small Registered Enterprises | Medium Registered Enterprises,Display Gujarat category totals.,
3,category_analysis,Enterprise Category Analysis,p3_stacked_chart,District Category Composition,stacked_bar_chart,district_fact,district_name | micro | small | medium,,Compare category volumes by district.,
3,category_analysis,Enterprise Category Analysis,p3_share_matrix,District Category Shares,matrix,district_fact,district_name | micro_share_pct | small_share_pct | medium_share_pct | dominant_category,,Compare category percentages.,
3,category_analysis,Enterprise Category Analysis,p3_medium_share,Districts by Medium Share,bar_chart,district_fact,district_name | medium_share_pct,,Identify districts with higher Medium share.,
3,category_analysis,Enterprise Category Analysis,p3_dominant_slicer,Dominant Category,slicer,district_fact,dominant_category,,Filter districts by dominant category.,
4,data_availability,Data Availability and Limitations,p4_source_status,Source Validation Status,reference_table,metadata,source_id | source_as_of_date | generated_at_utc | row_count | district_count,,Show source and output status.,
4,data_availability,Data Availability and Limitations,p4_checksum,Source Integrity,reference_card,metadata,source_file_name | source_sha256,,Display source-file traceability.,
4,data_availability,Data Availability and Limitations,p4_activity_notice,Activity-Type Data,static_notice,static,,,"State that district-level Manufacturing, Service and Trading fields are unavailable.",
4,data_availability,Data Availability and Limitations,p4_employment_notice,Employment Data,static_notice,static,,,State that compliant district-level employment data is unavailable and is not inferred.,
4,data_availability,Data Availability and Limitations,p4_interpretation_notice,Interpretation Warning,static_notice,static,,,"Clarify that registrations are not equivalent to active businesses, revenue or profitability.",
5,sources_methodology,Sources and Methodology,p5_source_details,Primary Source,reference_table,metadata,source_id | source_file_name | source_as_of_date | source_sha256,,Document the approved source snapshot.,
5,sources_methodology,Sources and Methodology,p5_bundle_details,Generated Package,reference_table,manifest,bundle_schema_version | district_row_count | ranking_row_count | data_dictionary_row_count,,Document generated Power BI assets.,
5,sources_methodology,Sources and Methodology,p5_methodology,Transformation Methodology,static_text,static,,,"Explain filtering, validation, ranking, percentage calculations and checksum generation.",
5,sources_methodology,Sources and Methodology,p5_field_dictionary,Field Dictionary,reference_table,static,,,"Display field name, type, origin, description and calculation from the generated dictionary.",
5,sources_methodology,Sources and Methodology,p5_governance,Data Governance,static_text,static,,,"Document aggregate-only usage, date preservation and prohibition of identifiable records.",
