source_id,original_column,column_description,data_type,required_for_mvp,example_value,notes
OGD_UDYAM_DISTRICT,LG_ST_Code,Local Government State Code,Integer,No,24,Government administrative code
OGD_UDYAM_DISTRICT,State,State name,Text,Yes,Gujarat,State where the enterprise is registered
OGD_UDYAM_DISTRICT,LG_DT_Code,Local Government District Code,Integer,No,(varies),Government district code
OGD_UDYAM_DISTRICT,District name,District name,Text,Yes,Gandhinagar,District of registration
OGD_UDYAM_DISTRICT,Postal PIN code,Postal PIN code,Integer,Yes,382010,Enterprise location PIN code
OGD_UDYAM_DISTRICT,Date of Udyam registration,Date of Udyam registration,Date,Yes,6/15/2024,Registration date of the enterprise
OGD_UDYAM_DISTRICT,Name of the registered enterprise,Name of the registered enterprise,Text,No,ABC Industries,Contains business names. Use carefully depending on project scope.
OGD_UDYAM_DISTRICT,Registered communication address,Registered communication address,Text,No,"Sector-21, Gandhinagar",Contains address information. May not be required in dashboards
OGD_UDYAM_DISTRICT,Registered business activities (NIC codes and descriptions),Registered business activities (NIC codes and descriptions),JSON / Text,Yes,"[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale""}]",Nested JSON containing one or more business activities. May require parsing later (not during M0).
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
